민원접수일,민원접수시간,주소,경도,위도
20220110,17:22:00,서울 동대문구 회기로4길 3(제기동1146-9)앞 불법주정차 단속요청,127.037528023327,37.5910198760271
20220110,22:18:00,동대문구 제기동 136-36 문앞을 막고 ,127.037085800066,37.5895075200777
20220111,13:10:00,동대문구 천호대로83길 44 (장안1동 431-6) 앞 불법주차 신속한 단속요청 드립니다.,127.065546531255,37.5638839349002
20220111,13:17:00,동대문구 약령중앙로 23-2 (제기동 1141-33)앞 일방통행,127.036868834651,37.580500900875
20220111,14:16:00,동대문구 약령시로 104-1(제기동 591-15) 앞 ,127.041616551154,37.5828979476325
20220112,00:05:00,서울시 동대문구 제기로 6길 32(제기동 67-74) 앞에 코너 부근,127.034254733749,37.5850804468469
20220112,08:20:00,동대문구 왕산로23길 35(제기동 1158-58번지) 대신택배 앞,127.034151379007,37.5799052604262
20220112,09:06:00,동대문구 회기로4길 3 [제기동 1146-9] 주택 주차장 입구  ,127.037528023327,37.5910198760271
20220112,15:09:00,서울 동대문구 제기동 252-2,127.03444793675746,37.58175509456884
20220112,16:33:00,"동대문구 왕산로 147(제기동 1015)에서 경동시장 사거리 방면으로 가다보면 사거리에 이르기 전 우측에 나은병원 들어가는 진입로가 있으며, 우회전하자마 횡단보도 있는 구간",127.03965869498,37.5787842338973
20220113,10:16:00,동대문구 홍릉로3길 40-2(제기동 532번지) 복성앤푸드 주변,127.042360669123,37.5818220769477
20220113,10:37:00,장안1동 189-2(답십리로64길 108) 빌라 주차장 앞 ,127.064707171501,37.5684966857829
20220113,16:30:00,서울 동대문구 제기동 854-1,127.04035985779252,37.58581895334276
20220113,19:21:00,동대문구 이문1동주민센터 앞 [지도상 주소: 외대역동로 114-1 (이문동 120-1)] 골목길,127.065482975741,37.5978134973025
20220114,08:21:00,동대문구 왕산로23길 35(제기동 1158-58번지) 대신택배 앞,127.034151379007,37.5799052604262
20220114,08:21:00,동대문구 제기동 149-12,127.031991432187,37.5825364066557
20220114,11:13:00,서울 동대문구 회기로 40 (지번:청량리동 205-757) 앞 도로.,127.040840874386,37.5911109477369
20220114,11:13:00,서울 동대문구 회기로 44 (지번:청량리동 205-776) 앞 도로.,127.041480734822,37.5911339702017
20220114,11:40:00,동대문구 왕산로19다길 40(지번)제기동 274-16 푸른마을9차 정문앞쪽 도로상 52러8115(모닝)외1대  단속요청합니다.,127.032701009774,37.5803514828636
20220114,15:44:00,동대문구 왕산로23길 35(제기동 1158-58번지) 대신택배 앞,127.034151379007,37.5799052604262
20220114,16:08:00,서울 동대문구 회기동 61-26,127.05458636745917,37.59038351641489
